"","stock","species","broodyear","recruits","spawners","r1","r2","r3","r4","r5","r6","r7","r8","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2.1","r2.2","r2.3","r2.4","r2.5","r3.1","r3.2","r3.3","r3.4","r4.1","r4.2","r4.3","r4.4","logRS","stock.id"
"1","Ayakulik-Chinook","Chinook",1977,16470,4958,NA,NA,407,5063,1698,8647,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20053811057655,221
"2","Ayakulik-Chinook","Chinook",1978,10526,4551,NA,NA,1173,833,4314,3480,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838501397897082,221
"3","Ayakulik-Chinook","Chinook",1979,10499,4641,NA,NA,282,2539,2434,4752,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816350154273765,221
"4","Ayakulik-Chinook","Chinook",1980,4767,935,NA,NA,367,745,1562,1799,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62892592591614,221
"5","Ayakulik-Chinook","Chinook",1981,14769,7699,NA,NA,644,3137,3258,6547,1183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651439939148261,221
"6","Ayakulik-Chinook","Chinook",1982,15274,3230,NA,NA,999,1810,4327,7462,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55366989923163,221
"7","Ayakulik-Chinook","Chinook",1983,22503,15366,NA,NA,848,4084,9142,7189,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381491357210166,221
"8","Ayakulik-Chinook","Chinook",1984,17032,6065,NA,NA,1096,4009,4165,6676,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03255938519516,221
"9","Ayakulik-Chinook","Chinook",1985,19011,8075,NA,NA,1595,2694,5288,8351,1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856244889900769,221
"10","Ayakulik-Chinook","Chinook",1986,16738,6295,NA,NA,801,2705,5175,6430,1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977925916114372,221
